과목코드,과목명,과목내용,학점
AI001,IoT센서및센서시스템(캡스톤디자인),"트랜지스터, 다이오드와 같은 능동 소자 이용하여 증폭기 등을 꾸미는 방법을 배우고 이들이 저항, 캐패시터, 인덕터와 같은 수동 소자 등과 어떤 방식에 의해 결합되어 회로를 구성하는가에 대해 이해한다. 또한 요즈음 유비쿼터스 센서 네트워크 등에 이용되어 지고 있는 센서들에 대해 학습하고 이를 이용한 전자 화로의 해석 및 구성 방법 등에 대해 학습한다.",3
AI002,객체지향프로그래밍,"이 수업은 자바 프로그래밍 언어를 통해 객체지향프로그래밍(OOP)의 핵심 개념과 원칙을 배우는 것을 목표로 합니다. 학생들은 클래스와 객체, 상속, 다형성, 캡슐화 등의 객체지향 개념을 자바를 통해 이해하고, 이를 활용한 프로그램 설계와 구현 방법을 익히게 됩니다. 실습과 과제를 통해 이론적 지식을 실제 코딩에 적용하며, 프로젝트를 통해 실무 능력도 함께 기릅니다.",3
AI003,기계학습,"인공지능이 4차 산업혁명 시대의 핵심 기술이라고 합니다. 본 교과목에서는 인공지능의 전통적인 기술에서 최근의 딥러닝까지 인공지능의 전문적인 내용을 소개합니다. 인공지능 중 기계학습의 핵심 이론을 학습하고, 이를 활용한 프로젝트 응용을 통해 인공지능에 대한 이해의 폭을 넓힐 수 있습니다.",3
AI004,모바일특론,"개요: 모바일 특론은 통신시스템, 우주항공 분야 등에서 널리 활용되고 있는 정보통신 분야의 중추적인 역할을 하는 분야로, 공중선은 방위산업에 강조되고 있는 모바일 통신과 우주항공 전자 분야가 더욱 확대되어 감에 따라 저주파에서 마이크로파 영역에 이르는 높은 주파수대까지 통신을 효과적으로 처리하는 것을 다룹니다. 목표: 최근 우리나라에서는 휴대전화를 사용하여 무선으로 인터넷에 접속하고 필요한 정보를 취할 수 있을 정도로 모바일 통신이 생활화되었습니다. 이를 위한 무선 통신 시스템의 구현은 정보화 구축에 크게 기여하고 있으며, 스마트IT 전문 직업인을 양성하기 위한 전문지식을 배양하고 모바일 통신 관련 기술을 체계적으로 이해할 수 있도록 합니다.",3
AI005,빅데이터분석이론,"빅데이터 분석 관련 이론을 학습하고, 이를 기초적인 프로그래밍으로 구현하면서 이해의 깊이와 폭은 확장해 나가고자 한다. 본 강의를 이수한 뒤에는 본격적인 빅데이터 분석 프로젝트를 기획하여 진행할 수 있다.",3
AI006,스마트IT프로젝트1(캡스톤디자인),"스마트IT전공 졸업작품을 기획하고, 구현함으로써 실제 현장의 프로젝트와 동일한 환경에서 작업을 수행하고, 그 과정을 효과적으로 표현할 수 있다.",3
AI007,스마트전자회로,"개요: 우리의 일상생활 속을 보면 가정, 회사, 학교에 이르기까지 어디서든지 휴대전화, 컴퓨터, 인터넷 등 모바일 통신 관련 응용을 쉽게 접할 수 있습니다. 이들 중에서 어느 하나라도 없으면 생활에 불편함을 느낄 정도로 이제는 누구에게나 필수적인 부분으로 자리매김하고 있습니다. 본 교과는 이러한 시대적 요청에 발맞추어 스마트전자회로를 적용한 스마트 IT 관련된 세부전공에 들어가기 전에 공통적으로 필요한 내용을 명확히 전달하고, 전체적인 윤곽을 쉽게 파악할 수 있도록 수학적인 내용은 최소화하고 핵심개념을 위주로 설명하는 것을 중점을 둡니다. 목표: 스마트전자회로를 적용한 모바일 통신 시스템의 구현은 정보화 구축에 크게 기여하고 있으며, 스마트 IT 전문직업인 양성을 위한 전문지식을 배양하는 데 있습니다.",3
AI008,인공지능(AI)입문,"인공지능의 개념과 역사를 통해 우리 사회에 미치는 영향에 대하여 살펴보고, 관련 기술의 원리를 이해하고 본격적으로 AI 개발과 활용 계획을 수립할 수 있다.",3
AI009,전산수학,"과학기술과 공학 응용의 중심은 수학입니다. 전산수학, 본 교과목을 통해서 스마트IT 관련 학문 및 공학 전공의 학생들에게 기초적인 이해의 폭을 넓혀주고 실제 문제에서 어떻게 응용되는지를 직관적으로 이해하게 하는 학문적 기반을 마련해 드리고자 합니다. 전산 및 스마트IT에 필요한 수학적 이론들을 학습합니다.",3
AI010,프로그래밍기초2,"4차 산업혁명을 맞이하면, 빅데이터 분석에 대한 필요성과 관심이 증가하고 있다. 이에, 데이터 분석을 위한 프로그래밍 언어로, 쉽고 편리한 기능을 가지고 있는 고수준의 범용 언어인 파이썬 언어를 학습하고, 파이썬 라이브러리를 활용한 데이터 분석 방법들에 대하여 학습한다.",3
AI011,확률과통계,"실제 전공 및 실생활에서 언급되는 다양한 사례를 통해 확률과 통계가 어디에 쓰이고, 어떻게 활용되는지를 학습합니다. 이 공계열 학생들에게 꼭 필요한 빅데이터 분석의 기초가 되는 확률과 통계에 대한 기초 이론에 대해 탄탄하게 다룹니다. 또한, 통계자료를 바탕으로 구현된 문제들을 풍부하게 제시하며, 기초 이론을 기반으로 통계를 활용한 논리적 추론 및 빅데이터 응용분야로의 적용에 대해 학습합니다.",3