과목명,강의 내용,원래 가격,직무,일치율
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,유니티6를 활용해 디펜스 장르의 멀티플레이 게임을 개발하는 과정을 다룹니다. 게임 로직부터 출시까지 단계별로 배우는 실전 강의입니다.,"₩297,000",게임개발자,95.545%
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,유니티6를 활용해 디펜스 장르의 멀티플레이 게임을 개발하는 과정을 다룹니다. 게임 로직부터 출시까지 단계별로 배우는 실전 강의입니다.,"₩297,000",웹 개발자,37.218%
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,유니티6를 활용해 디펜스 장르의 멀티플레이 게임을 개발하는 과정을 다룹니다. 게임 로직부터 출시까지 단계별로 배우는 실전 강의입니다.,"₩297,000",앱 개발자,30.828%
따라하면 취업되는 게임기획 강의!,"따라하면 취업되는 게임 기획 강의입니다. 강의를 따라하면 게임기획에 대한 개념과 역기획서 작성법, 게임기획 포트폴리오 작성법, 자기소개서와 면접 준비 방법을 배울 수 있습니다.",무료,게임 기획자,98.999%
따라하면 취업되는 게임기획 강의!,"따라하면 취업되는 게임 기획 강의입니다. 강의를 따라하면 게임기획에 대한 개념과 역기획서 작성법, 게임기획 포트폴리오 작성법, 자기소개서와 면접 준비 방법을 배울 수 있습니다.",무료,게임개발자,95.975%
따라하면 취업되는 게임기획 강의!,"따라하면 취업되는 게임 기획 강의입니다. 강의를 따라하면 게임기획에 대한 개념과 역기획서 작성법, 게임기획 포트폴리오 작성법, 자기소개서와 면접 준비 방법을 배울 수 있습니다.",무료,데브옵스 엔지니어,80.285%
"PM,게임기획서 시스템기획 데이터테이블 PO 13주제 122개","게임기획자를 위한 밀키트 기획문서입니다. 
시스템기획서 , 데이터테이블, 사업PM강좌, 밸런스기획 등 모든 것
17년 경력의 게임기획자가 제공합니다.","₩108,900",게임 기획자,99.341%
"PM,게임기획서 시스템기획 데이터테이블 PO 13주제 122개","게임기획자를 위한 밀키트 기획문서입니다. 
시스템기획서 , 데이터테이블, 사업PM강좌, 밸런스기획 등 모든 것
17년 경력의 게임기획자가 제공합니다.","₩108,900",게임개발자,98.751%
"PM,게임기획서 시스템기획 데이터테이블 PO 13주제 122개","게임기획자를 위한 밀키트 기획문서입니다. 
시스템기획서 , 데이터테이블, 사업PM강좌, 밸런스기획 등 모든 것
17년 경력의 게임기획자가 제공합니다.","₩108,900",데이터 엔지니어,68.100%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,게임개발자,97.508%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,모바일 앱 개발,77.546%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,웹 개발자,64.986%
알아두면 쓸모 있는 로블록스 기능,"Useful Roblox features you need to know
로블록스 크리에이터 준비하는 분들이 알면 쓸모 있는 기능별 구분해서 정리한 강의!
업데이트 되는 기능에 맞춰 강의는 계속 업데이트 됩니다.","₩165,000",데이터 분석,30.691%
알아두면 쓸모 있는 로블록스 기능,"Useful Roblox features you need to know
로블록스 크리에이터 준비하는 분들이 알면 쓸모 있는 기능별 구분해서 정리한 강의!
업데이트 되는 기능에 맞춰 강의는 계속 업데이트 됩니다.","₩165,000",IoT,30.516%
알아두면 쓸모 있는 로블록스 기능,"Useful Roblox features you need to know
로블록스 크리에이터 준비하는 분들이 알면 쓸모 있는 기능별 구분해서 정리한 강의!
업데이트 되는 기능에 맞춰 강의는 계속 업데이트 됩니다.","₩165,000",블록체인,27.140%
[따라하면 취업되는 게임기획]역기획서/BM분석과개선제안서/창작기획서,"실전 게임기획이란 무엇인지 맛보고 싶으시다면, 인디 게임 제작에 앞서 기획서를 작성할 때 무엇부터 시작할지 망망대해에 빠진 기분이시라면, 게임회사 취업을 위해 기획서 포트폴리오를 제작함에 있어 어려움을 느끼시거나 현 역량 이상으로 한단계 업그레이드를 원하신다면, 이 강의가 여러분의 목표를 향한 길에 기준점 또는 참고자료로서 도움이 되리라 생각합니다.","₩39,600",게임 기획자,99.746%
[따라하면 취업되는 게임기획]역기획서/BM분석과개선제안서/창작기획서,"실전 게임기획이란 무엇인지 맛보고 싶으시다면, 인디 게임 제작에 앞서 기획서를 작성할 때 무엇부터 시작할지 망망대해에 빠진 기분이시라면, 게임회사 취업을 위해 기획서 포트폴리오를 제작함에 있어 어려움을 느끼시거나 현 역량 이상으로 한단계 업그레이드를 원하신다면, 이 강의가 여러분의 목표를 향한 길에 기준점 또는 참고자료로서 도움이 되리라 생각합니다.","₩39,600",게임개발자,97.889%
[따라하면 취업되는 게임기획]역기획서/BM분석과개선제안서/창작기획서,"실전 게임기획이란 무엇인지 맛보고 싶으시다면, 인디 게임 제작에 앞서 기획서를 작성할 때 무엇부터 시작할지 망망대해에 빠진 기분이시라면, 게임회사 취업을 위해 기획서 포트폴리오를 제작함에 있어 어려움을 느끼시거나 현 역량 이상으로 한단계 업그레이드를 원하신다면, 이 강의가 여러분의 목표를 향한 길에 기준점 또는 참고자료로서 도움이 되리라 생각합니다.","₩39,600",모바일 앱 개발,73.588%
게임기획자를 위한 강화학습 : AI 마리오 에이전트 키우기,"강화학습 기본 개념부터 실전 프로젝트까지 한 번에 배우세요!
직접 슈퍼마리오 게임의 AI 에이전트를 만들며 강화학습을 경험해보세요",무료,게임 기획자,99.801%
게임기획자를 위한 강화학습 : AI 마리오 에이전트 키우기,"강화학습 기본 개념부터 실전 프로젝트까지 한 번에 배우세요!
직접 슈퍼마리오 게임의 AI 에이전트를 만들며 강화학습을 경험해보세요",무료,게임개발자,99.034%
게임기획자를 위한 강화학습 : AI 마리오 에이전트 키우기,"강화학습 기본 개념부터 실전 프로젝트까지 한 번에 배우세요!
직접 슈퍼마리오 게임의 AI 에이전트를 만들며 강화학습을 경험해보세요",무료,스마트 기술,83.355%
[따라하면 취업되는 게임기획]실전 농장 SNG 게임,"SNG게임 실무 기획서 전체를 다루며, 실제 SNG 기획의 상세 내용을 모두 보여줍니다.
동영상 강의와 PDF파일(255Page분량)을 모두 제공하여, 동영상 강의로 학습하고 
PDF 기획서로 복습할 수 있습니다.
#강의 자료 중 엑셀파일은 제공하지 않습니다","₩39,600",게임 기획자,98.928%
[따라하면 취업되는 게임기획]실전 농장 SNG 게임,"SNG게임 실무 기획서 전체를 다루며, 실제 SNG 기획의 상세 내용을 모두 보여줍니다.
동영상 강의와 PDF파일(255Page분량)을 모두 제공하여, 동영상 강의로 학습하고 
PDF 기획서로 복습할 수 있습니다.
#강의 자료 중 엑셀파일은 제공하지 않습니다","₩39,600",게임개발자,74.765%
[따라하면 취업되는 게임기획]실전 농장 SNG 게임,"SNG게임 실무 기획서 전체를 다루며, 실제 SNG 기획의 상세 내용을 모두 보여줍니다.
동영상 강의와 PDF파일(255Page분량)을 모두 제공하여, 동영상 강의로 학습하고 
PDF 기획서로 복습할 수 있습니다.
#강의 자료 중 엑셀파일은 제공하지 않습니다","₩39,600",자동화 시스템,48.493%
[따라하면 취업되는 게임기획]클릭커/퍼즐/RPG 기획서 만들기,"대학교 입시, 인디 게임 개발에 필요한 창작 기획서의 작성 방법을 배울 수 있습니다. 기획서 특성상 높은 실무 지식을 요구하지 않기 때문에 공모전, 정부 지원 사업에 유리한 기획서를 작성할 수 있습니다. 더불어 상용화된 RPG게임의 상세 역기획서도 연습할 수 있습니다.","₩39,600",게임개발자,99.695%
[따라하면 취업되는 게임기획]클릭커/퍼즐/RPG 기획서 만들기,"대학교 입시, 인디 게임 개발에 필요한 창작 기획서의 작성 방법을 배울 수 있습니다. 기획서 특성상 높은 실무 지식을 요구하지 않기 때문에 공모전, 정부 지원 사업에 유리한 기획서를 작성할 수 있습니다. 더불어 상용화된 RPG게임의 상세 역기획서도 연습할 수 있습니다.","₩39,600",게임 기획자,99.248%
[따라하면 취업되는 게임기획]클릭커/퍼즐/RPG 기획서 만들기,"대학교 입시, 인디 게임 개발에 필요한 창작 기획서의 작성 방법을 배울 수 있습니다. 기획서 특성상 높은 실무 지식을 요구하지 않기 때문에 공모전, 정부 지원 사업에 유리한 기획서를 작성할 수 있습니다. 더불어 상용화된 RPG게임의 상세 역기획서도 연습할 수 있습니다.","₩39,600",웹 개발자,96.618%
[게임기획/PM]운영툴/백오피스와 데이터분석 기획,"게임기획, 서비스기획, 사업PM 직군에서 다루는 업무인
운영툴&백오피스와 데이터분석 기획에 관한 실무 강의 입니다.",무료,게임 기획자,99.446%
[게임기획/PM]운영툴/백오피스와 데이터분석 기획,"게임기획, 서비스기획, 사업PM 직군에서 다루는 업무인
운영툴&백오피스와 데이터분석 기획에 관한 실무 강의 입니다.",무료,데이터 분석,99.131%
[게임기획/PM]운영툴/백오피스와 데이터분석 기획,"게임기획, 서비스기획, 사업PM 직군에서 다루는 업무인
운영툴&백오피스와 데이터분석 기획에 관한 실무 강의 입니다.",무료,데이터 엔지니어,75.072%
[따라하면 취업되는 게임기획]게임사업PM 준비/게임기획자와 협업,"게임사업PM 취업지망생분들을 위한 실무 가이드 북입니다.
사업PM이 하는 업무 범위 부터 시작해서, BM분석과 개선제안서, 이벤트 기획서, 
운영툴 기획,지표 설계와 분석 등 실무 개념과 포트폴리오 작성방법을 알려드립니다.","₩55,000",게임 기획자,99.743%
[따라하면 취업되는 게임기획]게임사업PM 준비/게임기획자와 협업,"게임사업PM 취업지망생분들을 위한 실무 가이드 북입니다.
사업PM이 하는 업무 범위 부터 시작해서, BM분석과 개선제안서, 이벤트 기획서, 
운영툴 기획,지표 설계와 분석 등 실무 개념과 포트폴리오 작성방법을 알려드립니다.","₩55,000",게임개발자,98.664%
[따라하면 취업되는 게임기획]게임사업PM 준비/게임기획자와 협업,"게임사업PM 취업지망생분들을 위한 실무 가이드 북입니다.
사업PM이 하는 업무 범위 부터 시작해서, BM분석과 개선제안서, 이벤트 기획서, 
운영툴 기획,지표 설계와 분석 등 실무 개념과 포트폴리오 작성방법을 알려드립니다.","₩55,000",데이터 분석,70.747%
언리얼 네트워크,"언리얼 엔진에서 제공하는 네트워크 프레임워크의 구성을 이해합니다.
서버, 클라이언트, 리플리케이션, RPC가 무엇이며 어떻게 작동하는지 이해합니다.
언리얼 프레임워크를 이용하여 네트워크 게임을 제작할 수 있습니다.",무료,네트워크 엔지니어,99.385%
언리얼 네트워크,"언리얼 엔진에서 제공하는 네트워크 프레임워크의 구성을 이해합니다.
서버, 클라이언트, 리플리케이션, RPC가 무엇이며 어떻게 작동하는지 이해합니다.
언리얼 프레임워크를 이용하여 네트워크 게임을 제작할 수 있습니다.",무료,인공지능,89.234%
언리얼 네트워크,"언리얼 엔진에서 제공하는 네트워크 프레임워크의 구성을 이해합니다.
서버, 클라이언트, 리플리케이션, RPC가 무엇이며 어떻게 작동하는지 이해합니다.
언리얼 프레임워크를 이용하여 네트워크 게임을 제작할 수 있습니다.",무료,클라우드 보안,81.452%
[따라하면 취업되는 게임기획]MORPG 게임밸런스 기획,"따라하면 취업되는 게임기획 강의를 만든 제임스킴의 실전 게임밸런스 기획 강의입니다.
액션 MORPG게임의 전투 밸런스/성장 밸런스/전투 공식/엘로레이팅의 개념과 실전 적용 계산 방식을 담았고, 실제 밸런스 작업에 쓰인 pdf 파일 교안을 제공합니다.","₩55,000",게임 기획자,96.230%
[따라하면 취업되는 게임기획]MORPG 게임밸런스 기획,"따라하면 취업되는 게임기획 강의를 만든 제임스킴의 실전 게임밸런스 기획 강의입니다.
액션 MORPG게임의 전투 밸런스/성장 밸런스/전투 공식/엘로레이팅의 개념과 실전 적용 계산 방식을 담았고, 실제 밸런스 작업에 쓰인 pdf 파일 교안을 제공합니다.","₩55,000",게임개발자,79.206%
[따라하면 취업되는 게임기획]MORPG 게임밸런스 기획,"따라하면 취업되는 게임기획 강의를 만든 제임스킴의 실전 게임밸런스 기획 강의입니다.
액션 MORPG게임의 전투 밸런스/성장 밸런스/전투 공식/엘로레이팅의 개념과 실전 적용 계산 방식을 담았고, 실제 밸런스 작업에 쓰인 pdf 파일 교안을 제공합니다.","₩55,000",앱 개발자,63.971%
[따라하면 취업되는 게임기획]MMORPG 길드 기획/이벤트기획,"이 강의는 역기획서 3종과 창작기획서 1종(MMORPG 길드시스템 역기획서, MMORPG 창작기획서 - 빙고 이벤트기획/운영툴 기획, MORPG 퀘스트 역기획서, MORPG 채집시스템 역기획서)을 자세히 알려주고 실제 어떻게 작성해야 하는지를 짚어줍니다.","₩55,000",게임 기획자,95.942%
[따라하면 취업되는 게임기획]MMORPG 길드 기획/이벤트기획,"이 강의는 역기획서 3종과 창작기획서 1종(MMORPG 길드시스템 역기획서, MMORPG 창작기획서 - 빙고 이벤트기획/운영툴 기획, MORPG 퀘스트 역기획서, MORPG 채집시스템 역기획서)을 자세히 알려주고 실제 어떻게 작성해야 하는지를 짚어줍니다.","₩55,000",게임개발자,83.611%
[따라하면 취업되는 게임기획]MMORPG 길드 기획/이벤트기획,"이 강의는 역기획서 3종과 창작기획서 1종(MMORPG 길드시스템 역기획서, MMORPG 창작기획서 - 빙고 이벤트기획/운영툴 기획, MORPG 퀘스트 역기획서, MORPG 채집시스템 역기획서)을 자세히 알려주고 실제 어떻게 작성해야 하는지를 짚어줍니다.","₩55,000",자동화 시스템,60.709%
게임학개론,"게임에 대한 전반적인 사항들, 게임에 대한 여러 요소를 인문한적인 관점에서 살펴보는 강좌입니다. '게임의 교과서' 라는 교제를 기반으로 강의를 진행합니다.",무료,게임개발자,99.521%
게임학개론,"게임에 대한 전반적인 사항들, 게임에 대한 여러 요소를 인문한적인 관점에서 살펴보는 강좌입니다. '게임의 교과서' 라는 교제를 기반으로 강의를 진행합니다.",무료,게임 기획자,62.433%
게임학개론,"게임에 대한 전반적인 사항들, 게임에 대한 여러 요소를 인문한적인 관점에서 살펴보는 강좌입니다. '게임의 교과서' 라는 교제를 기반으로 강의를 진행합니다.",무료,웹 개발자,49.483%
