과목명,주차,주차별 학습내용
디지털포렌식,1,디지털 포렌식 개요
디지털포렌식,2,Live Response 1
디지털포렌식,3,Live Response 2
디지털포렌식,4,메모리 분석 1
디지털포렌식,5,메모리 분석 2
디지털포렌식,6,메모리 분석 3
디지털포렌식,7,DKOM 기법
디지털포렌식,8,PE 파일 분석 1 (수시평가)
디지털포렌식,9,PE 파일 분석 2
디지털포렌식,10,PE 파일 분석 3
디지털포렌식,11,레지스트리 분석 1
디지털포렌식,12,레지스트리 분석 2
디지털포렌식,13,레지스트리 분석 3
디지털포렌식,14,네트워크 포렌식 1
디지털포렌식,15,네트워크 포렌식 2 (기말평가)
보안알고리즘,1,알고리즘이란?
보안알고리즘,2,알고리즘 설계의 분석과 기초
보안알고리즘,3,정렬(1)
보안알고리즘,4,정렬(2)
보안알고리즘,5,선택 알고리즘
보안알고리즘,6,검색 트리(1)
보안알고리즘,7,검색 트리(2)
보안알고리즘,8,중간시험
보안알고리즘,9,해시테이블
보안알고리즘,10,집합의 처리
보안알고리즘,11,동적 프로그래밍
보안알고리즘,12,그리디 알고리즘
보안알고리즘,13,문자열 매칭
보안알고리즘,14,암호 알고리즘 토픽
보안알고리즘,15,총정리 및 기말고사
보안운영체제,1,운영체제 보안의 개요
보안운영체제,2,운영체제 이해
보안운영체제,3,80x86 시스템의 이해
보안운영체제,4,계정과 권한
보안운영체제,5,운영체제 프로세스
보안운영체제,6,프로세서 스케줄링
보안운영체제,7,디스크 성능 최적화
보안운영체제,8,중간고사
보안운영체제,9,버퍼 오버플로
보안운영체제,10,포맷 스트링
보안운영체제,11,백도어
보안운영체제,12,윈도우 시스템 보안 설정
보안운영체제,13,리눅스 시스템 보안 설정
보안운영체제,14,침해사고와 로그
보안운영체제,15,기말고사
보안프로그래밍,1,파이썬 프로그래밍 구조 및 개요
보안프로그래밍,2,자료형과 변수
보안프로그래밍,3,전처리와 입출력
보안프로그래밍,4,연산자
보안프로그래밍,5,제어문 개요
보안프로그래밍,6,반복문
보안프로그래밍,7,튜플, 리스트 자료구조
보안프로그래밍,8,중간고사
보안프로그래밍,9,함수 정의 및 활용
보안프로그래밍,10,파일 입출력과 예외처리
보안프로그래밍,11,TKinter 라이브러리
보안프로그래밍,12,Numpy 라이브러리
보안프로그래밍,13,웹 스크레이핑 활용
보안프로그래밍,14,객체지향 활용
보안프로그래밍,15,기말고사
블록체인기술및응용,1,블록체인의 개념
블록체인기술및응용,2,블록체인의 역사
블록체인기술및응용,3,블록체인과 암호화폐
블록체인기술및응용,4,블록체인 이해하기
블록체인기술및응용,5,스마트 계약과 이더리움
블록체인기술및응용,6,블록체인 2.0과 스마트 계약 플랫폼
블록체인기술및응용,7,블록체인 서비스 활용
블록체인기술및응용,8,중간고사
블록체인기술및응용,9,블록체인 애플리케이션 개발 기초
블록체인기술및응용,10,솔리디티를 이용한 애플리케이션 개발
블록체인기술및응용,11,애플리케이션 개발 프레임워크
블록체인기술및응용,12,애플리케이션 설계 주의사항
블록체인기술및응용,13,블록체인의 기술적 과제와 해결 방법
블록체인기술및응용,14,블록체인의 미래
블록체인기술및응용,15,기말고사
선형대수학,1,연립 1차 방정식과 행렬
선형대수학,2,행렬식
선형대수학,3,2차원과 3차원 공간의 벡터
선형대수학,4,벡터공간
선형대수학,5,선형변환
선형대수학,6,고유값과 고유벡터
선형대수학,7,응용
선형대수학,8,중간고사
선형대수학,9,행렬의 상사성
선형대수학,10,벡터의 노름
선형대수학,11,직교대각화법
선형대수학,12,대칭행렬
선형대수학,13,근사문제와 수치해법
선형대수학,14,선형대수 응용 사례
선형대수학,15,기말고사
악성코드분석,1,악성코드의 분석 개념
악성코드분석,2,리버싱과 해킹의 이해
악성코드분석,3,컴퓨터 시스템의 명령어 처리 구조
악성코드분석,4,디버거 활용 방법
악성코드분석,5,어셈블리어의 이해
악성코드분석,6,코드 분석과 패치
악성코드분석,7,윈도우 실행 파일 구조
악성코드분석,8,중간고사
악성코드분석,9,파일 패킹과 언패킹
악성코드분석,10,안티 리버싱
악성코드분석,11,메모리 오염 공격
악성코드분석,12,방패와 창
악성코드분석,13,코드 인젝션
악성코드분석,14,악성코드 분석
악성코드분석,15,기말고사
암호수학2,1,대수적 구조
암호수학2,2,벡터공간과 차원
암호수학2,3,동차연립방정식의 해공간
암호수학2,4,다항식환
암호수학2,5,갈루아체와 원시다항식
암호수학2,6,무한수열
암호수학2,7,유리수의 소수표현
암호수학2,8,중간고사
암호수학2,9,가환환에서의 무한수열
암호수학2,10,BBS수열
암호수학2,11,정수의 인수분해
암호수학2,12,대수적 부호이론
암호수학2,13,해밍부호
암호수학2,14,선형점화수열
암호수학2,15,기말고사
암호학응용,1,스트림암호와 선형점화수열
암호학응용,2,공개열쇠암호
암호학응용,3,모듈라 지수승 계산법
암호학응용,4,기타 공개열쇠암호
암호학응용,5,하이브리드 암호
암호학응용,6,암호계의 응용
암호학응용,7,서명기법
암호학응용,8,중간고사
암호학응용,9,열쇠분배와 공유
암호학응용,10,메시지인증코드
암호학응용,11,신원확인기법
암호학응용,12,비밀분산 및 영지식증명
암호학응용,13,암호 알고리즘 설계
암호학응용,14,현대암호학 이론
암호학응용,15,기말고사
웹서버보안프로그래밍,1,강의소개
웹서버보안프로그래밍,2,Next.js 소개
웹서버보안프로그래밍,3,Next.js 주요 기능 실습
웹서버보안프로그래밍,4,Next.js 서버 기능
웹서버보안프로그래밍,5,MongoDB Atlas 활용
웹서버보안프로그래밍,6,MongoDB CRUD
웹서버보안프로그래밍,7,Github, Vercel 활용
웹서버보안프로그래밍,8,중간고사
웹서버보안프로그래밍,9,예제 프로젝트 1
웹서버보안프로그래밍,10,예제 프로젝트 2
웹서버보안프로그래밍,11,React Native 앱 개발 소개
웹서버보안프로그래밍,12,팀프로젝트 상담
웹서버보안프로그래밍,13,팀프로젝트 진행 현황 점검
웹서버보안프로그래밍,14,기말고사 및 팀프로젝트 발표
웹서버보안프로그래밍,15,개인별 포트폴리오 발표
웹어플리케이션보안(캡스톤디자인),1,강의소개
웹어플리케이션보안(캡스톤디자인),2,프로젝트팀 구성, 계획서 작성
웹어플리케이션보안(캡스톤디자인),3,Next.js 프레임워크 소개
웹어플리케이션보안(캡스톤디자인),4,Next.js 주요 기능 실습
웹어플리케이션보안(캡스톤디자인),5,Next.js 프로젝트 실습
웹어플리케이션보안(캡스톤디자인),6,블록체인과 이더리움
웹어플리케이션보안(캡스톤디자인),7,메타마스크 설치 및 활용 실습
웹어플리케이션보안(캡스톤디자인),8,중간고사 및 프로젝트 중간 발표
웹어플리케이션보안(캡스톤디자인),9,ERC-20 토큰 표준 실습
웹어플리케이션보안(캡스톤디자인),10,ERC-721 NFT 표준 실습
웹어플리케이션보안(캡스톤디자인),11,ERC-1155 멀티토큰 표준 실습
웹어플리케이션보안(캡스톤디자인),12,Solidity 컨트랙트 프로그래밍
웹어플리케이션보안(캡스톤디자인),13,프론트엔드 웹앱 개발 실습
웹어플리케이션보안(캡스톤디자인),14,팀프로젝트 상담
웹어플리케이션보안(캡스톤디자인),15,기말고사 및 팀프로젝트 발표
일반수학Ⅱ,1,제 4장 적분법: 부정적분과 역도함수
일반수학Ⅱ,2,초월함수의 적분법
일반수학Ⅱ,3,부분적분법과 유리함수의 적분법
일반수학Ⅱ,4,정적분과 정적분의 근사해법
일반수학Ⅱ,5,평면적과 운동물체의 위치, 운동거리
일반수학Ⅱ,6,회전체의 체적 계산법
일반수학Ⅱ,7,입체도형의 체적
일반수학Ⅱ,8,중간고사
일반수학Ⅱ,9,행렬: 행렬의 개념과 연산
일반수학Ⅱ,10,연립 1차 방정식의 해법
일반수학Ⅱ,11,역행렬의 계산법
일반수학Ⅱ,12,행렬식의 정의와 성질
일반수학Ⅱ,13,크래머의 공식
일반수학Ⅱ,14,총정리 및 연습문제 풀이
일반수학Ⅱ,15,기말고사
정보보안운영기초,1,정보보안개요 - 오리엔테이션, 정보보안 개요
정보보안운영기초,2,시스템보안(1) - 윈도우 시스템 보안
정보보안운영기초,3,네트워크보안(1) - OSI 7계층, TCP/IP 프로토콜
정보보안운영기초,4,네트워크보안(2) - 스니핑, 스푸핑, DoS 공격
정보보안운영기초,5,웹보안 - 웹 취약점 및 보안 대책
정보보안운영기초,6,암호(1) - 암호 기초
정보보안운영기초,7,암호(2) - 대칭암호, 비대칭암호
정보보안운영기초,8,중간고사
정보보안운영기초,9,접근제어 - 인증 및 접근 통제 모델
정보보안운영기초,10,악성코드 및 소프트웨어 개발 보안
정보보안운영기초,11,보안솔루션 - 방화벽, IDS/IPS, DLP
정보보안운영기초,12,보안관제와 침해대응(1) - 보안관제, 침해대응
정보보안운영기초,13,보안관제와 침해대응(2) - 침해대응 및 포렌식
정보보안운영기초,14,보안거버넌스 - 정보보호법/정책, 보안거버넌스
정보보안운영기초,15,기말고사
정보보호응용실습,1,프로그래밍과 파이썬 소개
정보보호응용실습,2,메모리와 변수
정보보호응용실습,3,화면 입출력과 리스트 자료형
정보보호응용실습,4,제어문과 반복문 실습
정보보호응용실습,5,함수와 코드 작성 연습
정보보호응용실습,6,문자열 다루기 실습
정보보호응용실습,7,자료구조 실습
정보보호응용실습,8,중간고사
정보보호응용실습,9,객체지향 프로그래밍 실습
정보보호응용실습,10,모듈과 패키지 활용
정보보호응용실습,11,예외 처리 실습
정보보호응용실습,12,웹 스크레이핑 실습
정보보호응용실습,13,XML과 JSON 데이터 처리
정보보호응용실습,14,프로젝트 개발 실습
정보보호응용실습,15,기말고사
정보보호평가및인증,1,오리엔테이션 / 정보보호 평가 및 인증이란?
정보보호평가및인증,2,정보보호체계인증 1: ISMS, BS7799, ISO27001 기준
정보보호평가및인증,3,정보보호체계인증 2: ISMS, BS7799, ISO27001 기준
정보보호평가및인증,4,정보보호체계인증 3: ISMS, BS7799, ISO27001 기준
정보보호평가및인증,5,관리적보안구축 1: 정보보안정책수립 및 조직구성
정보보호평가및인증,6,관리적보안구축 2: 위험평가/분석, 위험관리/대책
정보보호평가및인증,7,물리적보안구축: 물리적보호구역, 시스템보호, 사무실보안구축
정보보호평가및인증,8,정리 / 수시고사
정보보호평가및인증,9,기술적보안구축 1: 응용프로그램보안구축
정보보호평가및인증,10,기술적보안구축 2: 서버보안구축, 네트워크보안구축, DB보안구축
정보보호평가및인증,11,정보보호시스템 인증평가 1: ITSEC, TCSEC, CC 기준 및 지침
정보보호평가및인증,12,정보보호시스템 인증평가 2: ITSEC, TCSEC, CC 기준 및 지침
정보보호평가및인증,13,정보보호시스템 인증평가 3: ITSEC, TCSEC, CC 기준 및 지침
정보보호평가및인증,14,정보보호시스템 인증평가 4: CCRA, ISO/IEC15408 기준 및 지침
정보보호평가및인증,15,정리 / 기말고사
정보보호프로젝트설계실습,1,캡스톤디자인 계획서 작성
정보보호프로젝트설계실습,2,주간 프로젝트 진행
정보보호프로젝트설계실습,3,주간 프로젝트 진행
정보보호프로젝트설계실습,4,주간 프로젝트 진행
정보보호프로젝트설계실습,5,주간 프로젝트 진행
정보보호프로젝트설계실습,6,주간 프로젝트 진행
정보보호프로젝트설계실습,7,캡스톤디자인 보고서 제출
정보보호프로젝트설계실습,8,졸업작품발표회
정보보호프로젝트설계실습,9,취업준비 - 이력서, 자기소개서 작성
정보보호프로젝트설계실습,10,PPT 포트폴리오 작성
정보보호프로젝트설계실습,11,동영상 포트폴리오 작성
정보보호프로젝트설계실습,12,블로그형 포트폴리오 작성
정보보호프로젝트설계실습,13,모의면접
정보보호프로젝트설계실습,14,정보보호학회 논문 준비
정보보호프로젝트설계실습,15,정보보호학회 논문 제출
패킷분석및공격대응,1,네트워크 구조 - OSI 7계층 구조
패킷분석및공격대응,2,네트워크 보안 공격 1 - 계층별 보안 공격
패킷분석및공격대응,3,네트워크 보안 공격 2 - 계층별 보안 공격
패킷분석및공격대응,4,와이어샤크 환경 설정 1 - 프로그램 개요 학습
패킷분석및공격대응,5,와이어샤크 환경 설정 2 - 프로그램 개요 학습
패킷분석및공격대응,6,Raw 패킷 분석 - Hex Stream 값 분석
패킷분석및공격대응,7,FTP 패킷분석 - TCP/IP 및 FTP 패킷 분석
패킷분석및공격대응,8,Telnet 패킷 분석 - 원격지 액세스 환경 분석
패킷분석및공격대응,9,파일 매직 넘버 - 전송된 파일 분석
패킷분석및공격대응,10,포트스캔 패킷 분석 - TCP/UDP 포트스캔 분석
패킷분석및공격대응,11,악성코드 패킷 분석 1 - 악성코드 분석
패킷분석및공격대응,12,악성코드 패킷 분석 2 - 악성코드 분석
패킷분석및공격대응,13,쉘코드 패킷 분석 1 - 쉘코드 분석
패킷분석및공격대응,14,쉘코드 패킷 분석 2 - 쉘코드 분석
패킷분석및공격대응,15,와이어샤크 구현 - Winpcap 라이브러리 학습